qqWords	WordID	Faces	FaceID	Scenes	SceneID	Objects	ObjectID
qqcalm	word1	qqAdam_Levine	face1	qqAlcatraz	scene1	qqBottle	object1
qqdiamond	word2	qqAl_Pacino	face2	qqAmazon	scene2	qqBowling_Ball	object2
qqdrop	word3	qqBarack_Obama	face3	qqAmsterdam	scene3	qqBroom	object3
qqhoney	word4	qqBen_Affleck	face4	qqAppalachian_Mountains	scene4	qqBucket	object4
qqinjure	word5	qqBeyonce	face5	qqArc_De_Triomphe	scene5	qqCalculator	object5
qqnauseous	word6	qqBill_Clinton	face6	qqArlington_Cemetery	scene6	qqCamera	object6
qqpolite	word7	qqBill_Gates	face7	qqAtlantic_City	scene7	qqCane	object7
qqrecipe	word8	qqBrad_Pitt	face8	qqBerlin_Wall	scene8	qqChapstick	object8
qqsurround	word9	qqBradley_Cooper	face9	qqBig_Ben	scene9	qqCoat_Hanger	object9
qqtickle	word10	qqBritney_Spears	face10	qqBrooklyn_Bridge	scene10	qqCoffee_Pot	object10
qqtornado	word11	qqBruce_Willis	face11	qqBuckingham_Palace	scene11	qqComb	object11
qqtrap	word12	qqCameron_Diaz	face12	qqCape_Cod	scene12	qqCrowbar	object12
qqadrenelin	word13	qqCate_Blanchett	face13	qqCape_of_Good_Hope	scene13	qqDrill	object13
qqbreaded	word14	qqChristina_Aguilera	face14	qqChrysler_Building	scene14	qqDrum	object14
qqdecay	word15	qqClint_Eastwood	face15	qqColorado_River	scene15	qqEraser	object15
qqgreedy	word16	qqDaniel_Craig	face16	qqColosseum	scene16	qqFaucet	object16
qqmad	word17	qqDaniel_Radcliffe	face17	qqDead_Sea	scene17	qqFlashlight	object17
qqorbit	word18	qqDavid_Letterman	face18	qqDeath_Valley	scene18	qqFork	object18
qqozone	word19	qqDemi_Moore	face19	qqDisney_World	scene19	qqFrisbee	object19
qqpasture	word20	qqEddie_Murphy	face20	qqDubai	scene20	qqFrying_Pan	object20
qqpurge	word21	qqElton_John	face21	qqEiffel_Tower	scene21	qqGolf_Club	object21
qqspeech	word22	qqEmma_Watson	face22	qqEpcot	scene22	qqGrater	object22
qqsteal	word23	qqGeorge_Bush	face23	qqGolden_Gate_Bridge	scene23	qqGuitar	object23
qqwarp	word24	qqGeorge_Clooney	face24	qqGrand_Central_Station	scene24	qqHammer	object24
qqacid	word25	qqGwen_Stefani	face25	qqGreat_Barrier_Reef	scene25	qqHand_Cuffs	object25
qqcarnival	word26	qqHalle_Berry	face26	qqGreat_Pyramids	scene26	qqIron	object26
qqdiscover	word27	qqHeidi_Klum	face27	qqGreat_Wall_of_China	scene27	qqJoystick	object27
qqflavor	word28	qqHillary_Clinton	face28	qqGuggenheim_Museum	scene28	qqJuicer	object28
qqgravity	word29	qqHugh_Grant	face29	qqHawaii	scene29	qqKeys	object29
qqhyper	word30	qqJennifer_Lopez	face30	qqHoover_Dam	scene30	qqKnife	object30
qqincense	word31	qqJerry_Seinfeld	face31	qqLas_Vegas	scene31	qqLighter	object31
qqketchup	word32	qqJim_Carrey	face32	qqLeaning_Tower_of_Pisa	scene32	qqLock	object32
qqlegalize	word33	qqJon_Stewart	face33	qqLondon_Bridge	scene33	qqMagnifying_Glass	object33
qqpalette	word34	qqJohnny_Depp	face34	qqMadison_Square_Garden	scene34	qqMicrophone	object34
qqretire	word35	qqJulia_Roberts	face35	qqMiami_Beach	scene35	qqMixer	object35
qqtrapeze	word36	qqJustin_Bieber	face36	qqMississippi_River	scene36	qqMug	object36
qqannoy	word37	qqJustin_Timberlake	face37	qqMount_Everest	scene37	qqNail_Clipper	object37
qqflour	word38	qqKanye_West	face38	qqNiagara_Falls	scene38	qqPaintbrush	object38
qqfly	word39	qqKeira_Knightly	face39	qqNile_River	scene39	qqPaper_Clip	object39
qqgraduate	word40	qqKevin_Bacon	face40	qqNorth_Pole	scene40	qqPeeler	object40
qqgrinch	word41	qqKobe_Bryant	face41	qqOxford_University	scene41	qqPencil	object41
qqhide	word42	qqLeonardo_Dicaprio	face42	qqPalace_of_Versailles	scene42	qqPepper_Mill	object42
qqlimousine	word43	qqMadonna	face43	qqPentagon	scene43	qqPipe	object43
qqpelt	word44	qqMariah_Carey	face44	qqPompeii	scene44	qqPizza_Cutter	object44
qqpirate	word45	qqMarilyn_Monroe	face45	qqRadio_City_Music_Hall	scene45	qqPlunger	object45
qqscoop	word46	qqMartha_Stewart	face46	qqRed_Square	scene46	qqRazor	object46
qqtraumatize	word47	qqMatt_Damon	face47	qqRedwood_National_Park	scene47	qqRope	object47
qqvendor	word48	qqMel_Gibson	face48	qqRock_of_Gibralter	scene48	qqSaw	object48
qqalarm	word49	qqMichael_Jackson	face49	qqRocky_Mountains	scene49	qqScissors	object49
qqbribe	word50	qqMichael_Jordan	face50	qqSahara_Desert	scene50	qqScrew	object50
qqchilly	word51	qqMichael_Phelps	face51	qqSerengeti	scene51	qqScrewdriver	object51
qqclumsy	word52	qqNatalie_Portman	face52	qqSmithsonian_Museum	scene52	qqSpatula	object52
qqcrave	word53	qqNicole_Kidman	face53	qqSpace_Needle	scene53	qqSponge	object53
qqdebate	word54	qqOprah_Winfrey	face54	qqSt_Louis_Arch	scene54	qqStapler	object54
qqimpatient	word55	qqOwen_Wilson	face55	qqSwiss_Alps	scene55	qqStethoscope	object55
qqjury	word56	qqPamela_Anderson	face56	qqSydney_Bridge	scene56	qqSyringe	object56
qqparachute	word57	qqPenelope_Cruz	face57	qqSydney_Opera_House	scene57	qqTape_Measure	object57
qqsummer	word58	qqReese_Witherspoon	face58	qqTahiti	scene58	qqTennis_Racket	object58
qqswindle	word59	qqRobert_Deniro	face59	qqTaj_Mahal	scene59	qqThermometer	object59
qqvalet	word60	qqRobin_Williams	face60	qqTimes_Square	scene60	qqToothbrush	object60
qqbutterfly	word61	qqSandra_Bullock	face61	qqUS_Capitol	scene61	qqTrumpet	object61
qqelevate	word62	qqSarah_Jessica_Parker	face62	qqVatican_City	scene62	qqTweezers	object62
qqexit	word63	qqTina_Fey	face63	qqVictoria_Falls	scene63	qqTypewriter	object63
qqinherit	word64	qqTom_Cruise	face64	qqWestminster_Abbey	scene64	qqUmbrella	object64
qqkangaroo	word65	qqTom_Hanks	face65	qqWhite_Cliffs_of_Dover	scene65	qqWalkie_Talkie	object65
qqlottery	word66	qqTyra_Banks	face66	qqWhite_House	scene66	qqWatering_Can	object66
qqnervous	word67	qqAntonio_Banderas	face67	qqYankee_Stadium	scene67	qqWrench	object67
qqpatriotic	word68	qqBen_Stiller	face68	qqAngkor_Wat_Cambodia	scene68	qqMaracas	object68
qqpolish	word69	qqHarrison_Ford	face69	qqChichenitza_Mexico	scene69	qqMortar_and_Pestle	object69
qqporcupine	word70	qqKim_Kardashian	face70	qqHagia_Sophia	scene70	qqHockey_Stick	object70
qqskate	word71	qqAnne_Hathaway	face71	qqLouvre_Museum	scene71	qqTape	object71
qqvertebrate	word72	qqRihanna	face72	qqMachu_Picchu	scene72	qqMakeup_Brush	object72
qqbalance	word73	qqSteve_Jobs	face73	qqMonte_Carlo_Casino	scene73	qqBasket	object73
qqcement	word74	qqEllen_Degeneres	face74	qqMount_Vesuvius	scene74	qqBasketball	object74
qqcry	word75	qqUsain_Bolt	face75	qqMount_Fuji	scene75	qqChopsticks	object75
qqdive	word76	qqKaty_Perry	face76	qqPontevecchio_Florence	scene76	qqDoorknob	object76
qqmarshmallow	word77	qqAlec_Baldwin	face77	qqUluru	scene77	qqFlash_Drive	object77
qqnarrate	word78	qqEmma_Stone	face78	qqUS_Supreme_Court	scene78	qqHandbag	object78
qqregister	word79	qqWill_Ferrell	face79	qqCentral_Park	scene79	qqIce_Cream_Scoop	object79
qqsmoke	word80	qqTom_Brady	face80	qqFrench_Riviera	scene80	qqiPhone	object80
qqsunburn	word81	qqMiley_Cyrus	face81	qqGreek_Islands	scene81	qqBaseball_Bat	object81
qqvault	word82	qqSarah_Palin	face82	qqTimbuktu	scene82	qqMegaphone	object82
qqvelcro	word83	qqJoe_Biden	face83	qqGreat_Salt_Lake	scene83	qqPerfume_Bottle	object83
qqworm	word84	qqDr._Phil	face84	qqCN_Tower	scene84	qqPotato_Masher	object84
qqcarpool	word85	qqSteve_Carell	face85	qqBiltmore_Mansion	scene85	qqRemote_Control	object85
qqdiagonal	word86	qqJulianne_Moore	face86	qqThe_Alamo	scene86	qqRolling_Pin	object86
qqdream	word87	qqTaylor_Swift	face87	qqPanama_Canal	scene87	qqSand_Paper	object87
qqjump	word88	qqJennifer_Aniston	face88	qqJerusalem	scene88	qqSewing_Machine	object88
qqlocal	word89	qqAdele	face89	qqMount_Vernon	scene89	qqSnow_Shovel	object89
qqluminate	word90	qqPaul_Rudd	face90	qqStonehenge	scene90	qqSteering_Wheel	object90
qqmonopoly	word91	qqJennifer_Hudson	face91	qqWashington_Monument	scene91	qqTeapot	object91
qqpuppet	word92	qqJennifer_Lawrence	face92	qqGateway_of_India	scene92	qqTire_Pump	object92
qqshare	word93	qqLance_Armstrong	face93	qqRodeo_Drive	scene93	qqTraffic_Cone	object93
qqsmash	word94	qqLea_Michele	face94	qqForbidden_City	scene94	qqWallet	object94
qqswim	word95	qqSofia_Vergara	face95	qqNotre_Dame	scene95	qqWater_Gun	object95
qqwoodpecker	word96	qqZac_Effron	face96	qqFalling_Water	scene96	qqXylophone	object96
qqawkward	word97	qqDonald_Trump	face97	qqPetra_Jordan	scene97	qqAcorn	object97
qqbrew	word98	qqLindsey_Lohan	face98	qqVenice	scene98	qqPom_Pom	object98
qqbury	word99	qqEmril_Lagasse	face99	qqThe_Golden_Temple	scene99	qqPlaydough	object99
qqcrawl	word100	qqDanny_Devito	face100	qqConey_Island	scene100	qqBook	object100
qqfree	word101	qqJack_Nicholson	null	qqLiberty_Bell	null	qqMatches	null
qqgroup	word102	qqJohn_Travolta	null	qqGalapagos_Islands	null	qqWash_Cloth	null
qqmusical	word103	qqJay_Leno	null	qqAcropolis	null	qqBrush	null
qqnovice	word104	qqBono	null	qqAndes	null	qqComputer_Mouse	null
qqpoison	word105	qqSteve_Martin	null	qqFenway_Park	null	qqPen	null
qqpopcorn	word106	qqSalma_Hayek	null	qqNeuschwanstein_Castle	null	qqPhone	null
qqshiny	word107	null	null	qqBird's_Nest_Stadium_Beijing	null	qqHeartland_Bracelet	null
qqvictory	word108	null	null	null	null	null	null
qqballet	word109	null	null	null	null	null	null
qqeclipse	word110	null	null	null	null	null	null
qqfreeze	word111	null	null	null	null	null	null
qqmint	word112	null	null	null	null	null	null
qqmope	word113	null	null	null	null	null	null
qqpigeon	word114	null	null	null	null	null	null
qqpolice	word115	null	null	null	null	null	null
qqproud	word116	null	null	null	null	null	null
qqshort 	word117	null	null	null	null	null	null
qqsquirrel	word118	null	null	null	null	null	null
qqswarm	word119	null	null	null	null	null	null
qqx-ray	word120	null	null	null	null	null	null
qqallowance	word121	null	null	null	null	null	null
qqautomatic	word122	null	null	null	null	null	null
qqbald	word123	null	null	null	null	null	null
qqbreak	word124	null	null	null	null	null	null
qqlogo	word125	null	null	null	null	null	null
qqmischievous	word126	null	null	null	null	null	null
qqpilot	word127						
qqpopular	word128						
qqraid	word129						
qqsuggest	word130						
qqtourtise	word131						
qqunique	word132						
qqboils	word133						
qqdeluxe	word134						
qqexplode	word135						
qqinvest	word136						
qqmagnet	word137						
qqmarry	word138						
qqpenny	word139						
qqrescue	word140						
qqskull	word141						
qqspill	word142						
qqsuperficial 	word143						
qqtrample	word144						
qqelephant	word145						
qqhug	word146						
qqkarate	word147						
qqlaunch	word148						
qqlazy	word149						
qqmouse	word150						
qqmysterious	word151						
qqpimple	word152						
qqquiet	word153						
qqrent	word154						
qqshrink	word155						
qqvote	word156						
qqbreeze	word157						
qqcontrast	word158						
qqcramp	word159						
qqdusty	word160						
qqgrow	word161						
qqparty	word162						
qqpowerful	word163						
qqprickly	word164						
qqscorn	word165						
qqticket	word166						
qqugly	word167						
qqwarn	word168						
qqcartoon	word169						
qqfraud	word170						
qqgodzilla	word171						
qqhealthy	word172						
qqmourn	word173						
qqpilgrim	word174						
qqpinch	word175						
qqrain	word176						
qqrefuse	word177						
qqspicy	word178						
qqwebbed	word179						
qqwhisper	word180						
qqbuy	word181						
qqfickle	word182						
qqflag	word183						
qqhunt	word184						
qqinvisible	word185						
qqitchy	word186						
qqjazz	word187						
qqmisty	word188						
qqoxygen	word189						
qqpollen	word190						
qqrank	word191						
qqsalami	word192						
qqabandon	word193						
qqballoon	word194						
qqchocolate	word195						
qqgrass	word196						
qqgloomy	word197						
qqhotline	word198						
qqhungry	word199						
qqjealous	word200						
qqlimp	word201						
qqmagical	word202						
qqwinter	word203						
qqyacht	word204						
qqadopt	word205						
